;evt_type_num;1103_prev;1103_post;1109_prev;1109_post;1111_prev;1111_post;1113_prev;1113_post;1115_prev;1115_post;1117_prev;1117_post;1119_prev;1119_post;1121_prev;1121_post;1123_prev;1123_post;1125_prev;1125_post;1134_prev;1134_post;1136_prev;1136_post;1164_prev;1164_post;1166_prev;1166_post;1170_prev;1170_post;1178_prev;1178_post;1180_prev;1180_post;1182_prev;1182_post;1188_prev;1188_post;1190_prev;1190_post;1196_prev;1196_post;1210_prev;1210_post;1216_prev;1216_post;1218_prev;1218_post;1487_prev;1487_post;1972462773_prev;1972462773_post;2884620857_prev;2884620857_post;3246631463_prev;3246631463_post;4464520745_prev;4464520745_post;5281267026_prev;5281267026_post;5465536958_prev;5465536958_post;5465551953_prev;5465551953_post;5465600229_prev;5465600229_post;6029388272_prev;6029388272_post;6064027586_prev;6064027586_post;6064027597_prev;6064027597_post;6064061663_prev;6064061663_post;6064071199_prev;6064071199_post;6064100661_prev;6064100661_post;6064411646_prev;6064411646_post;6066147434_prev;6066147434_post;6071542409_prev;6071542409_post;6072675642_prev;6072675642_post;6074370064_prev;6074370064_post;6082462464_prev;6082462464_post;6097787339_prev;6097787339_post;6100944762_prev;6100944762_post;6100954493_prev;6100954493_post;6100958508_prev;6100958508_post;6100971872_prev;6100971872_post;6100986271_prev;6100986271_post;6100996664_prev;6100996664_post;6101017092_prev;6101017092_post;6101025570_prev;6101025570_post;6101071505_prev;6101071505_post;6101130962_prev;6101130962_post;6101688611_prev;6101688611_post;6101705982_prev;6101705982_post;6101798974_prev;6101798974_post;6103192580_prev;6103192580_post;6108364993_prev;6108364993_post;6108824655_prev;6108824655_post;6111532602_prev;6111532602_post;6111932208_prev;6111932208_post;6112341779_prev;6112341779_post;6112715950_prev;6112715950_post;6112959031_prev;6112959031_post;6113912545_prev;6113912545_post;6368901817_prev;6368901817_post;7163029317_prev;7163029317_post;7604445879_prev;7604445879_post;7604684006_prev;7604684006_post;7691882320_prev;7691882320_post;7699615719_prev;7699615719_post;890896994_prev;890896994_post;890904439_prev;890904439_post;9092741870_prev;9092741870_post;9092758665_prev;9092758665_post;MAIN_OPERATION;ROLE_COUNT;FLAG_ID_STORNO_APPROVE;STORNO_APPROVE_FLAG;FLAG_BK_PIN;BK_PIN_FLAG
4048;14;1.0;0.0;;;;;;;;;;;;;;;4;0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;0;1;;0;;0
10399;1;1.0;0.0;;;;;;;;;;;;;;;1;0;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
11861;7;2.0;1.0;2.0;1.0;;;;;;;;;1.0;1.0;;;2;0;;;1.0;0.0;1.0;1.0;3.0;0.0;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
7919;1;1.0;0.0;0.0;1.0;;;;;;;;;;;;;1;0;2.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;4556911875;1
303;1;2.0;0.0;1.0;1.0;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;2.0;;;;;;;;;2.0;2.0;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;1.0;1.0;1.0;2.0;0.0;;;0;1;;0;;0
11329;5;1.0;0.0;;;;;;;;;;;0.0;4.0;;;2;0;2.0;0.0;;;1.0;0.0;1.0;0.0;;;10.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;0.0;;;;;;;;;;;;;;;;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;9189655398;1;;0
3445;5;1.0;1.0;0.0;1.0;;;;;;;;;;;;;5;0;;;1.0;0.0;2.0;0.0;;;;;2.0;0.0;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;2.0;0.0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1554073357;1;;0
10132;12;3.0;3.0;2.0;4.0;;;;;;;;;;;;;2;0;;;;;1.0;0.0;1.0;1.0;;;1.0;0.0;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;1.0;0.0;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;0;2;8471154936;1;;0
3804;11;1.0;0.0;;;;;;;;;;;;;;;1;0;1.0;1.0;0.0;1.0;2.0;1.0;;;;;4.0;0.0;;;;;;;;;;;;;;;3.0;1.0;;;;;;;;;;;;;4.0;0.0;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;316392748;1;;0
6667;5;;;;;;;;;;;;;;;;;2;0;2.0;0.0;4.0;2.0;3.0;1.0;;;;;3.0;1.0;;;;;;;;;;;;;;;9.0;3.0;;;;;;;;;1.0;0.0;;;3.0;1.0;;;;;;;;;;;;;;;;;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;0;;0;;0
11751;5;3.0;1.0;4.0;1.0;;;;;;;;;;;;;5;0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
1957;20;3.0;1.0;2.0;1.0;;;;;;;;;0.0;1.0;0.0;1.0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;6.0;;;;;;;;;0;2;11118304311;1;;0
11175;16;1.0;0.0;0.0;1.0;;;;;;;;;;;0.0;1.0;1;0;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;5.0;1.0;;;;;0.0;1.0;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
11878;8;1.0;0.0;0.0;1.0;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
12283;13;0.0;1.0;0.0;1.0;;;;;;;;;1.0;0.0;;;1;1;;;;;1.0;0.0;;;;;10.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;0;0;;0;;0
3207;7;6.0;0.0;4.0;2.0;;;;;;;;;2.0;0.0;;;4;10;;;2.0;0.0;2.0;2.0;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
305;3;4.0;1.0;3.0;2.0;;;;;;;;;;;;;6;0;;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;10205731087;1;;0
6397;5;1.0;0.0;1.0;0.0;;;;;;;;;1.0;0.0;;;3;0;2.0;0.0;1.0;1.0;1.0;0.0;;;;;3.0;0.0;;;;;;;;;;;;;;;3.0;1.0;1.0;0.0;;;;;;;;;1.0;0.0;4.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
9668;7;1.0;0.0;;;;;;;;;;;;;;;2;2;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
3450;7;;;;;;;;;;;;;1.0;0.0;;;2;1;;;;;2.0;0.0;;;;;7.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;0.0;;;;;;;;;;;;;;;;;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
2303;12;1.0;0.0;1.0;1.0;;;;;;;;;0.0;4.0;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1128448059;1;;0
842;5;;;;;;;;;;;;;;;;;2;0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;0;0;;0;1062961920;1
8506;14;2.0;2.0;1.0;3.0;;;;;;;;;;;;;18;3;7.0;0.0;1.0;0.0;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;4.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;0;5521513374;1
6028;8;1.0;0.0;;;;;;;;;;;;;2.0;0.0;3;0;2.0;0.0;4.0;0.0;;;;;;;1.0;0.0;;;;;;;;;;;;;;;5.0;0.0;;;;;;;;;;;;;1.0;0.0;;;2.0;0.0;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
4165;8;6.0;0.0;6.0;0.0;;;;;;;;;;;;;1;0;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;3.0;2.0;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;0.0;3.0;;;;;;;;;5.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;0;;0
6011;8;2.0;1.0;2.0;0.0;;;;;;;;;1.0;1.0;;;3;0;;;;;1.0;0.0;0.0;1.0;;;1.0;0.0;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;1.0;0.0;;;1.0;0.0;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
5733;5;1.0;0.0;0.0;1.0;;;;;;;;;;;;;1;2;0.0;2.0;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;6.0;2.0;;;1.0;0.0;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;0.0;1.0;0.0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;4074653429;1;;0
5782;11;2.0;1.0;1.0;2.0;;;;;;;;;;;;;1;1;;;1.0;0.0;0.0;1.0;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2.0;;;1.0;0.0;;;;;;;;;;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;4084126745;1;;0
170;11;;;;;;;;;;;;;;;;;1;0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;;;1.0;0.0;;;;;;;;;;;;;;;3.0;4.0;;;;;;;;;;;;;1.0;1.0;;;0.0;1.0;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;0;;0;10118100070;1
3713;7;4.0;0.0;2.0;1.0;;;;;;;;;6.0;0.0;;;3;1;;;;;1.0;1.0;;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
12212;2;1.0;0.0;;;;;;;;;;;;;;;1;0;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
7443;7;4.0;0.0;3.0;0.0;;;;;;;;;2.0;3.0;;;1;0;;;;;;;1.0;0.0;;;11.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0;0.0;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
523;8;1.0;0.0;;;;;;;;;;;;;;;1;0;;;1.0;0.0;1.0;0.0;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;2.0;0.0;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
4952;3;1.0;1.0;0.0;2.0;;;0.0;1.0;;;;;;;3.0;0.0;2;0;;;8.0;3.0;1.0;2.0;;;;;1.0;2.0;;;;;;;;;;;;;1.0;1.0;7.0;6.0;;;;;;;;;;;;;1.0;2.0;;;3.0;1.0;;;;;;;;;;;;;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;9.0;0.0;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;3708740652;1;;0
5889;8;;;;;;;;;;;;;;;;;1;0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;3.0;1.0;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;3.0;3.0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
12207;7;2.0;0.0;2.0;1.0;;;;;;;;;;;;;2;1;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
200;13;;;;;;;;;;;;;;;;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
1799;7;3.0;0.0;2.0;0.0;;;;;;;;;2.0;0.0;;;1;0;;;1.0;0.0;2.0;0.0;1.0;0.0;;;7.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;0.0;;;1.0;0.0;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
3792;5;;;;;;;;;;;;;;;;;4;0;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
2876;16;2.0;1.0;1.0;1.0;;;;;;;;;;;;;3;11;;;;;1.0;0.0;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
8363;11;2.0;0.0;1.0;1.0;;;;;;;;;;;;;2;0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;0.0;1.0;;;;;0;2;5382567732;1;;0
3225;4;1.0;0.0;1.0;0.0;3.0;0.0;;;;;;;1.0;0.0;;;1;1;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;1.0;0.0;;;;;1;0;;0;;0
7954;1;3.0;0.0;2.0;1.0;;;;;;;;;;;;;1;0;2.0;0.0;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;4580797506;1
11758;1;1.0;0.0;0.0;1.0;;;;;;;;;;;;;1;0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
6186;4;4.0;1.0;5.0;1.0;;;;;;;;;;;;;10;2;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;1.0;0.0;;;2.0;0.0;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;0;1;;0;;0
7495;6;0.0;1.0;0.0;1.0;0.0;4.0;;;;;;;;;;;2;2;1.0;0.0;;;1.0;2.0;;;;;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;5.0;;;;;;;;;;;;;;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
1778;1;1.0;0.0;0.0;1.0;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;1.0;;;;;1;1;;0;;0
12019;5;1.0;0.0;;;;;;;;;;;;;;;2;2;2.0;2.0;0.0;3.0;0.0;1.0;1.0;0.0;;;0.0;1.0;;;;;;;;;;;;;;;3.0;3.0;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;9620446088;1
5820;5;0.0;1.0;0.0;1.0;0.0;1.0;;;;;;;;;;;2;0;1.0;2.0;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
10386;17;1.0;0.0;1.0;0.0;;;;;;;;;;;;;2;0;1.0;0.0;1.0;0.0;;;;;;;1.0;0.0;;;;;;;;;;;;;;;4.0;0.0;;;;;;;;;2.0;0.0;;;1.0;0.0;;;1.0;2.0;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;2.0;2.0;4.0;0.0;;;;;;;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;1;8638447210;1;;0
3313;2;1.0;0.0;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;0;0;;0;;0
2173;13;;;;;;;;;;;;;1.0;0.0;1.0;0.0;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;3.0;;;;;;;;;;;;;;;0;0;;0;;0
5647;4;0.0;2.0;0.0;2.0;;;;;;;;;;;;;2;0;4.0;0.0;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;2.0;0.0;;;;;;;;;;;;;;;;;8.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;2.0;0.0;;;;;0;0;;0;;0
4963;1;1.0;1.0;0.0;3.0;;;;;;;;;;;;;1;0;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;3711547873;1;;0
8192;2;1.0;0.0;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;5284548566;1;;0
11226;8;;;;;;;;;;;;;;;;;1;0;;;2.0;0.0;1.0;0.0;;;;;3.0;0.0;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;3.0;1.0;;;1.0;0.0;;;;;;;;;;;;;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
2745;8;0.0;1.0;;;;;;;;;;;;;;;1;0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;0;0;;0;;0
10460;1;1.0;0.0;0.0;1.0;;;;;;;;;;;2.0;0.0;1;0;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;5.0;1.0;;;;;;;;;1.0;1.0;;;;;;;1.0;0.0;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;4.0;0.0;;;10.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;1.0;;;;;1;1;;0;;0
3527;3;2.0;0.0;;;;;;;;;;;;;;;3;0;4.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;1617113668;1;1617095714;1
